mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_MLP__max_iter,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0.06537394523620606,0.004712390899658203,0.11002799997964348,0.11029208301954847,1,{'MLP__max_iter': 1},12,0.10931402749779157,0.10904690473205966,0.11393104411575952,0.11328305415847692,0.11026744660128203,0.1113911016736236,0.1095540205749505,0.10933624967926822,0.10707064944074182,0.10840310485431395,0.0028290963401152555,0.00040099621882258053,0.002225659653866275,0.0017992262340609459
0.1186173439025879,0.004612064361572266,0.10884885651581362,0.11006337276942708,2,{'MLP__max_iter': 2},13,0.10774413539000506,0.10924292398295447,0.10789681910500049,0.10832836770112543,0.1067157806518834,0.10603087055677207,0.10931152469145125,0.11167512403447862,0.11258069220832072,0.1150395775718048,0.004888544242166852,0.0003752856148668822,0.0020400147293238623,0.0030758676586916623
0.22890872955322267,0.004812717437744141,0.11282714823663745,0.11449837188761618,4,{'MLP__max_iter': 4},11,0.11163844783196297,0.11291903577103217,0.11559046260013439,0.11815619740991899,0.11540183998127553,0.11694220211806293,0.1088853346828406,0.10866947567426831,0.11261779598289297,0.11580494846479845,0.00608727433953685,0.0005112023262927833,0.0025002963442065347,0.003392033895291272
0.44277753829956057,0.004411458969116211,0.11544678326822419,0.11705507074474253,8,{'MLP__max_iter': 8},10,0.11344341510188981,0.114322730918891,0.11754324371257936,0.11931756766053972,0.11666058876380742,0.11593408928952134,0.11657454265299029,0.1199192972501484,0.11301156990674517,0.11578166860461224,0.007253817767359692,0.00020062936889362864,0.0018484150730988939,0.0021756157347120777
0.895380973815918,0.0046122074127197266,0.1313989544317491,0.15537602859421903,16,{'MLP__max_iter': 16},9,0.1388701286076252,0.16747519819822043,0.13201146328071103,0.14432855574341014,0.13595714450245786,0.1810971585127771,0.12447122663137887,0.15417758592462072,0.1256704499063995,0.12980164459206683,0.031970700244893145,0.0003752474856347775,0.005617531803342462,0.017807293268236733
1.5716793060302734,0.004311466217041015,0.17567357046562532,0.26380892007190304,32,{'MLP__max_iter': 32},8,0.1388701286076252,0.16747519819822043,0.14454092201109145,0.24395823773115452,0.23630224051612403,0.3228241345624505,0.20636922547766703,0.36122110684606196,0.1523024537862191,0.22356592302162753,0.35249175474859323,0.000245398516306938,0.03870194147640128,0.06966443001203235
2.3118537425994874,0.004913234710693359,0.24690342084259534,0.32750419051547197,64,{'MLP__max_iter': 64},7,0.1388701286076252,0.16747519819822043,0.38355417278807746,0.4061360351057898,0.22892062455764192,0.34077372509452475,0.28088000810964014,0.4310465660908376,0.2023327810713692,0.29208942808798755,0.9216359717646713,0.0004910304720024067,0.08224358029516646,0.0937481251559526
2.4214612007141114,0.004712295532226562,0.28203807539404324,0.3667310874965112,128,{'MLP__max_iter': 128},1,0.1388701286076252,0.16747519819822043,0.38355417278807746,0.4061360351057898,0.22892062455764192,0.34077372509452475,0.4566235501759825,0.6271810509960335,0.2023327810713692,0.29208942808798755,1.0803517152425768,0.00024541810276473955,0.11870872968066075,0.1518782438568285
2.4397966861724854,0.004712533950805664,0.28203807539404324,0.3667310874965112,256,{'MLP__max_iter': 256},1,0.1388701286076252,0.16747519819822043,0.38355417278807746,0.4061360351057898,0.22892062455764192,0.34077372509452475,0.4566235501759825,0.6271810509960335,0.2023327810713692,0.29208942808798755,1.0708012781252465,0.0004011631153659417,0.11870872968066075,0.1518782438568285
2.434027814865112,0.004612255096435547,0.28203807539404324,0.3667310874965112,512,{'MLP__max_iter': 512},1,0.1388701286076252,0.16747519819822043,0.38355417278807746,0.4061360351057898,0.22892062455764192,0.34077372509452475,0.4566235501759825,0.6271810509960335,0.2023327810713692,0.29208942808798755,1.0956800467918262,0.0003752346518198056,0.11870872968066075,0.1518782438568285
2.4546345233917237,0.004812717437744141,0.28203807539404324,0.3667310874965112,1024,{'MLP__max_iter': 1024},1,0.1388701286076252,0.16747519819822043,0.38355417278807746,0.4061360351057898,0.22892062455764192,0.34077372509452475,0.4566235501759825,0.6271810509960335,0.2023327810713692,0.29208942808798755,1.0735387996602144,0.00024547644520972494,0.11870872968066075,0.1518782438568285
2.45915846824646,0.004912948608398438,0.28203807539404324,0.3667310874965112,2048,{'MLP__max_iter': 2048},1,0.1388701286076252,0.16747519819822043,0.38355417278807746,0.4061360351057898,0.22892062455764192,0.34077372509452475,0.4566235501759825,0.6271810509960335,0.2023327810713692,0.29208942808798755,1.0875098972381978,0.00020055776542557568,0.11870872968066075,0.1518782438568285
2.4181665420532226,0.005013513565063477,0.28203807539404324,0.3667310874965112,4096,{'MLP__max_iter': 4096},1,0.1388701286076252,0.16747519819822043,0.38355417278807746,0.4061360351057898,0.22892062455764192,0.34077372509452475,0.4566235501759825,0.6271810509960335,0.2023327810713692,0.29208942808798755,1.086601054308291,0.0005490322876669606,0.11870872968066075,0.1518782438568285
